diagnosis_id,transition_window,support_level,primary_evidence,allowed_statement,forbidden_statement
T1_low_density_due_to_short_window,T1,mixed_or_requires_random_control,orig_count=48; equal_len_mean=35.33; below_adjacent_random_low=False,"Window length may contribute, but compare against equal-length adjacent-stage random subwindows before treating it as the main cause.",The transition-window result is only a window-length artifact.
T1_boundary_cutting_effect,T1,supported,orig_count=48; max_expanded_count=93; expansion_gain=45,"If expansion restores relationships, the original transition boundary is sensitivity-relevant.",Boundary sensitivity alone proves the original window is invalid.
T1_robust_low_density_after_length_control,T1,not_supported,orig_count=48; equal_len_mean=35.33; below_adjacent_random_low=False; expansion_gain=45,A transition window can be treated as robustly low-density only if it remains low against equal-length and expansion controls.,Treating low density as a robust fact without length/boundary controls.
T1_null_threshold_pressure,T1,supported,median_null_p95=0.385; median_observed_minus_null=-0.115,Null threshold pressure should be considered when interpreting low counts.,Low counts imply no observed lag peaks.
T2_low_density_due_to_short_window,T2,mixed_or_requires_random_control,orig_count=40; equal_len_mean=44.00; below_adjacent_random_low=False,"Window length may contribute, but compare against equal-length adjacent-stage random subwindows before treating it as the main cause.",The transition-window result is only a window-length artifact.
T2_boundary_cutting_effect,T2,supported,orig_count=40; max_expanded_count=82; expansion_gain=42,"If expansion restores relationships, the original transition boundary is sensitivity-relevant.",Boundary sensitivity alone proves the original window is invalid.
T2_robust_low_density_after_length_control,T2,not_supported,orig_count=40; equal_len_mean=44.00; below_adjacent_random_low=False; expansion_gain=42,A transition window can be treated as robustly low-density only if it remains low against equal-length and expansion controls.,Treating low density as a robust fact without length/boundary controls.
T2_null_threshold_pressure,T2,supported,median_null_p95=0.362; median_observed_minus_null=-0.123,Null threshold pressure should be considered when interpreting low counts.,Low counts imply no observed lag peaks.
T3_low_density_due_to_short_window,T3,mixed_or_requires_random_control,orig_count=35; equal_len_mean=17.67; below_adjacent_random_low=False,"Window length may contribute, but compare against equal-length adjacent-stage random subwindows before treating it as the main cause.",The transition-window result is only a window-length artifact.
T3_boundary_cutting_effect,T3,supported,orig_count=35; max_expanded_count=53; expansion_gain=18,"If expansion restores relationships, the original transition boundary is sensitivity-relevant.",Boundary sensitivity alone proves the original window is invalid.
T3_robust_low_density_after_length_control,T3,not_supported,orig_count=35; equal_len_mean=17.67; below_adjacent_random_low=False; expansion_gain=18,A transition window can be treated as robustly low-density only if it remains low against equal-length and expansion controls.,Treating low density as a robust fact without length/boundary controls.
T3_null_threshold_pressure,T3,supported,median_null_p95=0.353; median_observed_minus_null=-0.139,Null threshold pressure should be considered when interpreting low counts.,Low counts imply no observed lag peaks.
T4_low_density_due_to_short_window,T4,mixed_or_requires_random_control,orig_count=21; equal_len_mean=17.00; below_adjacent_random_low=False,"Window length may contribute, but compare against equal-length adjacent-stage random subwindows before treating it as the main cause.",The transition-window result is only a window-length artifact.
T4_boundary_cutting_effect,T4,supported,orig_count=21; max_expanded_count=37; expansion_gain=16,"If expansion restores relationships, the original transition boundary is sensitivity-relevant.",Boundary sensitivity alone proves the original window is invalid.
T4_robust_low_density_after_length_control,T4,not_supported,orig_count=21; equal_len_mean=17.00; below_adjacent_random_low=False; expansion_gain=16,A transition window can be treated as robustly low-density only if it remains low against equal-length and expansion controls.,Treating low density as a robust fact without length/boundary controls.
T4_null_threshold_pressure,T4,supported,median_null_p95=0.354; median_observed_minus_null=-0.159,Null threshold pressure should be considered when interpreting low counts.,Low counts imply no observed lag peaks.
