window_id,object_A,object_B,process_interpretation,state_basis,growth_basis,branch_basis,baseline_basis,support_level,allowed_statement,forbidden_statement,risk_notes
W045,H,Je,process_structure_supported_or_audit_only,dist=C0=A_front_B_catchup;C1=A_front_B_catchup; pattern=multi_crossing_unstable,dist=C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_split; growth=branch_split,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,branch_split;C2_sensitive
W045,H,Jw,H_distance_state_growth_front_with_Jw_catchup,dist=C0=A_front_B_catchup;C1=A_front_B_catchup; pattern=multi_crossing_unstable,dist=C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup; pattern=C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,state=branch_split; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,"H shows distance-state/growth front structure relative to Jw, with Jw catch-up or later/synchronized growth where supported.",H hard leads Jw by peak timing.,branch_split;C2_sensitive
W045,Je,Jw,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=A_front_B_catchup; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup; pattern=A_growth_front_B_catchup,state=branch_split; growth=branch_split,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,branch_split;C2_sensitive
W045,P,H,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=multi_crossing_unstable; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_consistent; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,C2_sensitive
W045,P,Je,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=multi_crossing_unstable; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_consistent; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,C2_sensitive
W045,P,Jw,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=multi_crossing_unstable; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_consistent; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,C2_sensitive
W045,P,V,process_structure_supported_or_audit_only,dist=C0=state_reversal_B_to_A;C1=state_reversal_B_to_A; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,state=branch_split; growth=branch_split,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,branch_split;C2_sensitive
W045,V,H,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=multi_crossing_unstable; pattern=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_split; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,branch_split;C2_sensitive
W045,V,Je,process_structure_supported_or_audit_only,dist=C0=multi_crossing_unstable;C1=multi_crossing_unstable; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_consistent; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,C2_sensitive
W045,V,Jw,process_structure_supported_or_audit_only,dist=C0=state_reversal_A_to_B;C1=state_reversal_A_to_B; pattern=C0=multi_crossing_unstable;C1=multi_crossing_unstable,dist=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup; pattern=C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,state=branch_split; growth=branch_consistent,state_dist=baseline_conflict; growth_dist=baseline_conflict,supported_only_if_basis_supported,State/growth process structure is reported by supported curve-structure diagnostics; inspect state/growth bases and risk flags.,Do not translate this row into a hard peak lead or causal lead.,branch_split;C2_sensitive
